pair_index,video_id,mocap_id,time,video_frame,mocap_frame,mocap_x,mocap_y,video_x,video_y
0,6516,52875,2023-03-29 10:23:10.777,3834,6502,-1882.24,-1.997,-1.8307272,1.1333473
0,6516,52875,2023-03-29 10:23:11.777,3839,6527,-1887.44,30.459,-1.8406358,1.1362017
0,6516,52875,2023-03-29 10:23:12.777,3844,6552,-1878.819,49.72,-1.8420633,1.1368562
0,6516,52875,2023-03-29 10:23:13.776,3849,6577,-1872.934,54.368,-1.8428662,1.1384419
0,6516,52875,2023-03-29 10:23:14.776,3854,6602,-1869.38,54.987,-1.8429067,1.138449
0,6516,52875,2023-03-29 10:23:15.776,3859,6627,-1869.843,54.047,-1.841386,1.1404499
0,6516,52875,2023-03-29 10:23:16.776,3864,6652,-1851.624,46.065,-1.8408123,1.1446275
0,6516,52875,2023-03-29 10:23:17.776,3869,6677,-1843.126,41.994,-1.8408256,1.1453961
0,6516,52875,2023-03-29 10:23:18.775,3874,6702,-1841.968,41.105,-1.8408256,1.1453961
0,6516,52875,2023-03-29 10:23:19.775,3879,6727,-1841.969,41.078,-1.8408256,1.1453961
0,6516,52875,2023-03-29 10:23:20.775,3884,6752,-1839.869,41.689,-1.8408825,1.1466837
0,6516,52875,2023-03-29 10:23:21.775,3889,6777,-1836.819,39.573,-1.8408163,1.1467208
0,6516,52875,2023-03-29 10:23:22.775,3894,6802,-1836.732,40.766,-1.8414948,1.146784
0,6516,52875,2023-03-29 10:23:23.774,3899,6827,-1835.761,41.635,-1.8414948,1.146784
0,6516,52875,2023-03-29 10:23:24.774,3904,6852,-1835.766,41.62,-1.840799,1.1474278
0,6516,52875,2023-03-29 10:23:25.774,3909,6877,-1835.565,41.662,-1.840799,1.1474278
0,6516,52875,2023-03-29 10:23:26.774,3914,6902,-1834.717,41.331,-1.8408284,1.1474279
0,6516,52875,2023-03-29 10:23:27.774,3919,6927,-1834.928,41.062,-1.8415668,1.1473993
0,6516,52875,2023-03-29 10:23:28.774,3924,6952,-1830.355,42.612,-1.8394911,1.1516209
0,6516,52875,2023-03-29 10:23:29.773,3929,6977,-1813.918,30.064,-1.8374604,1.1587822
0,6516,52875,2023-03-29 10:23:30.773,3934,7002,-1784.583,31.492,-1.8383266,1.1679846
0,6516,52875,2023-03-29 10:23:31.773,3939,7027,-1746.564,31.313,-1.8405405,1.1770368
0,6516,52875,2023-03-29 10:23:32.773,3944,7052,-1725.295,42.022,-1.8413393,1.1786182
0,6516,52875,2023-03-29 10:23:33.773,3949,7077,-1715.331,40.984,-1.8407435,1.1849844
0,6516,52875,2023-03-29 10:23:34.772,3954,7102,-1687.322,37.589,-1.8395687,1.1969528
0,6516,52875,2023-03-29 10:23:35.772,3959,7127,-1641.596,28.568,-1.8354827,1.2075111
0,6516,52875,2023-03-29 10:23:36.772,3964,7152,-1614.45,17.896,-1.8362035,1.208291
0,6516,52875,2023-03-29 10:23:37.772,3969,7177,-1603.618,26.921,-1.8377059,1.2132882
0,6516,52875,2023-03-29 10:23:38.772,3974,7202,-1583.728,29.647,-1.8399905,1.2225125
0,6516,52875,2023-03-29 10:23:39.771,3979,7227,-1546.307,36.141,-1.8415184,1.2288994
0,6516,52875,2023-03-29 10:23:40.772,3984,7252,-1535.869,39.277,-1.8452181,1.2346238
0,6516,52875,2023-03-29 10:23:41.771,3989,7277,-1503.057,59.363,-1.8524076,1.2445636
0,6516,52875,2023-03-29 10:23:42.771,3994,7302,-1474.012,97.358,-1.868809,1.2517622
0,6516,52875,2023-03-29 10:23:43.771,3999,7327,-1450.085,162.473,-1.8816382,1.2568115
0,6516,52875,2023-03-29 10:23:44.770,4004,7352,-1432.929,206.241,-1.9022585,1.2619147
0,6516,52875,2023-03-29 10:23:45.770,4009,7377,-1418.1,287.889,-1.927002,1.2614022
0,6516,52875,2023-03-29 10:23:46.770,4014,7402,-1428.377,376.537,-1.9503258,1.258694
0,6516,52875,2023-03-29 10:23:47.770,4019,7427,-1435.831,447.785,-1.9610034,1.2580898
0,6516,52875,2023-03-29 10:23:48.770,4024,7452,-1432.4,499.696,-1.985803,1.2596462
0,6516,52875,2023-03-29 10:23:49.769,4029,7477,-1433.704,592.062,-1.9992592,1.2590293
